0100100000,0
0100300000,0
0100500000,0
0100700000,0
0100900000,0
0101100000,0
0101300000,0
0101500000,0
0101700000,0
0101900000,0
0102100000,0
0102300000,0
0102500000,0
0102700000,0
0102900000,0
0103100000,0
0103300000,0
0103500000,0
0103700000,0
0103900000,0
0104100000,0
0104300000,0
0104500000,0
0104700000,0
0104900000,0
0105100000,0
0105300000,0
0105500000,0
0105700000,0
0105900000,0
0106100000,0
0106300000,0
0106500000,0
0106700000,0
0106900000,0
0107100000,0
0107300000,0
0107500000,0
0107700000,0
0107900000,0
0108100000,0
0108300000,0
0108500000,0
0108700000,0
0108900000,0
0109100000,0
0109300000,0
0109500000,0
0109700000,0
0109900000,0
0110100000,0
0110300000,0
0110500000,0
0110700000,0
0110900000,0
0111100000,0
0111300000,0
0111500000,0
0111700000,0
0111900000,0
0112100000,0
0112300000,0
0112500000,0
0112700000,0
0112900000,0
0113100000,0
0113300000,0
0200000000,2 - Somewhat difficult
0400100000,2 - Somewhat difficult
0400300000,2 - Somewhat difficult
0400500000,2 - Somewhat difficult
0400700000,4 - Somewhat easy
0400900000,4 - Somewhat easy
0401100000,1 - Very difficult
0401200000,2 - Somewhat difficult
0401300000,2 - Somewhat difficult
0401500000,2 - Somewhat difficult
0401700000,3 - Neither difficult nor easy
0401900000,4 - Somewhat easy
0402100000,3 - Neither difficult nor easy
0402300000,2 - Somewhat difficult
0402500000,3 - Neither difficult nor easy
0402700000,4 - Somewhat easy
0500100000,2 - Somewhat difficult
0500300000,2 - Somewhat difficult
0500500000,3 - Neither difficult nor easy
0500700000,2 - Somewhat difficult
0500900000,2 - Somewhat difficult
0501100000,3 - Neither difficult nor easy
0501300000,2 - Somewhat difficult
0501500000,4 - Somewhat easy
0501700000,2 - Somewhat difficult
0501900000,3 - Neither difficult nor easy
0502100000,1 - Very difficult
0502300000,3 - Neither difficult nor easy
0502500000,1 - Very difficult
0502700000,2 - Somewhat difficult
0502900000,2 - Somewhat difficult
0503100000,2 - Somewhat difficult
0503300000,3 - Neither difficult nor easy
0503500000,2 - Somewhat difficult
0503700000,1 - Very difficult
0503900000,2 - Somewhat difficult
0504100000,2 - Somewhat difficult
0504300000,1 - Very difficult
0504500000,2 - Somewhat difficult
0504700000,3 - Neither difficult nor easy
0504900000,3 - Neither difficult nor easy
0505100000,1 - Very difficult
0505300000,2 - Somewhat difficult
0505500000,3 - Neither difficult nor easy
0505700000,2 - Somewhat difficult
0505900000,2 - Somewhat difficult
0506100000,2 - Somewhat difficult
0506300000,2 - Somewhat difficult
0506500000,2 - Somewhat difficult
0506700000,2 - Somewhat difficult
0506900000,3 - Neither difficult nor easy
0507100000,5 - Very easy
0507300000,2 - Somewhat difficult
0507500000,4 - Somewhat easy
0507700000,2 - Somewhat difficult
0507900000,2 - Somewhat difficult
0508100000,2 - Somewhat difficult
0508300000,2 - Somewhat difficult
0508500000,4 - Somewhat easy
0508700000,2 - Somewhat difficult
0508900000,3 - Neither difficult nor easy
0509100000,2 - Somewhat difficult
0509300000,2 - Somewhat difficult
0509500000,4 - Somewhat easy
0509700000,2 - Somewhat difficult
0509900000,2 - Somewhat difficult
0510100000,2 - Somewhat difficult
0510300000,3 - Neither difficult nor easy
0510500000,3 - Neither difficult nor easy
0510700000,2 - Somewhat difficult
0510900000,2 - Somewhat difficult
0511100000,1 - Very difficult
0511300000,2 - Somewhat difficult
0511500000,2 - Somewhat difficult
0511700000,2 - Somewhat difficult
0511900000,2 - Somewhat difficult
0512100000,1 - Very difficult
0512300000,2 - Somewhat difficult
0512500000,2 - Somewhat difficult
0512700000,2 - Somewhat difficult
0512900000,4 - Somewhat easy
